C;Day-Ahead Energy Market Historical Offer Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Filename: hbdayaheadenergyoffer_20230520.csv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Report for: 05/20/2023 - 05/20/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Report generated: 09/01/2023 14:43:48 EDT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;Day;Trading Interval;Masked Lead Participant ID;Masked Asset ID;Must Take Energy;Maximum Daily Energy Available;Economic Maximum;Economic Minimum;Cold Startup Price;Intermediate Startup Price;Hot Startup Price;No Load Price;Segment 1 Price;Segment 1 MW;Segment 2 Price;Segment 2 MW;Segment 3 Price;Segment 3 MW;Segment 4 Price;Segment 4 MW;Segment 5 Price;Segment 5 MW;Segment 6 Price;Segment 6 MW;Segment 7 Price;Segment 7 MW;Segment 8 Price;Segment 8 MW;Segment 9 Price;Segment 9 MW;Segment 10 Price;Segment 10 MW;Claim 10;Claim 30;Unit Status
H;Date;String;Number;Number;Number;Number;Number;Number;$;$;$;$;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;MW;MW;String
D;05/20/2023;6;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;7;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;8;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;9;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;10;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;11;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;12;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;13;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;14;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;15;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;16;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;17;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;18;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;19;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;20;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;21;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;22;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;23;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;24;20721;88115;0;0;4;0.1;3.1;3.1;3.1;3.1;0;0.1;0.01;3.9;;;;;;;;;;;;;;;;;0;0;ECONOMIC
